Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	# Decoy Protein: Combined	Coverage [%]	# Peptides	# PSMs	# Protein Unique Peptides	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Grouped): Empty	Abundances (Grouped): T1A	Abundances (Grouped): T1H	Abundances (Grouped): T3A	Abundances (Grouped): T3H	Abundances (Grouped): T5A	Abundances (Grouped): T5H	Abundances (Grouped): Wild	Abundances (Grouped) CV [%]: Empty	Abundances (Grouped) CV [%]: T1A	Abundances (Grouped) CV [%]: T1H	Abundances (Grouped) CV [%]: T3A	Abundances (Grouped) CV [%]: T3H	Abundances (Grouped) CV [%]: T5A	Abundances (Grouped) CV [%]: T5H	Abundances (Grouped) CV [%]: Wild	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Abundances Count: F1: 127C, Sample, Empty"	"Abundances Count: F1: 128C, Sample, Empty"	"Abundances Count: F1: 128N, Sample, T1A"	"Abundances Count: F1: 129N, Sample, T1A"	"Abundances Count: F1: 129C, Sample, T1H"	"Abundances Count: F1: 130N, Sample, T1H"	"Abundances Count: F1: 130C, Sample, T3A"	"Abundances Count: F1: 131N, Sample, T3A"	"Abundances Count: F1: 131C, Sample, T3H"	"Abundances Count: F1: 132N, Sample, T3H"	"Abundances Count: F1: 132C, Sample, T5A"	"Abundances Count: F1: 133N, Sample, T5A"	"Abundances Count: F1: 133C, Sample, T5H"	"Abundances Count: F1: 134N, Sample, T5H"	"Abundances Count: F1: 126, Sample, Wild"	"Abundances Count: F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50116.t1	Montipora_capitata_KBHIv3___RNAseq.g50116.t1	0.006	2.018	38	2	1	1	1	1	644	65	6.18	0	1	0																																																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Cladocopium_goreaui_v3___evm.model.scf7180000354820.3	Cladocopium_goreaui_v3___evm.model.scf7180000354820.3	0.004	2.47	23	1	1	1	0	1	1267	139.5	7.15	1.82	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g23240.t1	Montipora_capitata_KBHIv3___RNAseq.g23240.t1	0	11.563	0	11	4	6	2	4	328	38.1	4.7	7.31	4	0	4645.6	57.9	50.9	57.9	50.6	63	52.6	43.6		5.27	34.81	0.54	11.81	21.79	1.54	5.27	4645.6		60.1	55.8	39.6	65.4	58.1	57.7	46.5	55	53.9	73.6	52	53.1	42	45.2	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48763.t1	Montipora_capitata_KBHIv3___RNAseq.g48763.t1	0	9.602	0	16	2	3	2	2	164	17.8	5.08	4.1	2	0		293.9	227.1	239.2	327.1	495.2	544.7	307.2		9.16	19.4	2.12	7.68	14.19	35.78	14.61			313.6	275.4	197.8	260.7	235.7	242.8	309.8	345.4	547.7	447.8	705.4	420.6	277	340.8			2	2	2	2	2	2	2	2	2	2	2	2	2	2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g5416.t1a	Montipora_capitata_KBHIv3___TS.g5416.t1a	0	8.164	0	4	3	3	3	3	637	74.3	7.39	2.31	3	0	181.5	107.2	178.4	164	146.3	117.6	122.5	103.5		13.49	7.04	7.25	2.47	42.03	4.46	6.95		181.5	118	97.4	187.5	169.7	155.7	172.6	148.8	143.7	159.7	86.5	118.7	126.4	108.7	98.5		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g5478.t1	Montipora_capitata_KBHIv3___TS.g5478.t1	0.004	2.478	23	7	1	1	1	1	324	35.1	8.02	3.76	1	0																																																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g7032.t1	Montipora_capitata_KBHIv3___RNAseq.g7032.t1	0	6.99	0	2	3	3	3	3	1948	216	6.47	4.58	3	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g50448.t1	Montipora_capitata_KBHIv3___TS.g50448.t1	0	5.444	1	4	1	1	1	1	370	40.5	6.79	2.22	1	0	239.2	100	79.1	84.6	70.3	111.3	89.4	92.1		4.5	3.27	4.5	7.16	16.59	27.35	0.32		239.2	96.9	103.2	81	77.3	87.3	82	66.8	74	125.2	98.9	73.5	108.7	91.9	92.3		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15034.t1	Montipora_capitata_KBHIv3___RNAseq.g15034.t1	0	7.244	0	8	3	4	3	3	394	43.8	5.54	2.49	3	0	398.9	123.2	102.9	129.3	77.6	95.1	86.7	119.7		1.58	2.97	0.38	4.17	3.02	17.45	0.66		398.9	121.8	124.6	100.7	105.1	129.6	128.9	75.4	79.9	93.1	97.1	76.6	98.2	120.2	119.1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g43565.t1	Montipora_capitata_KBHIv3___RNAseq.g43565.t1	0	17.117	0	7	5	5	5	5	830	93	8.16	3.94	5	0	413.5	79.9	115.4	121.2	102.4	78.3	87	82.1	91.53	0.34	8.91	0.67	4.58	6.37	1.59	7.71	893.6	191.4	79.7	80.1	108.4	122.9	121.8	120.7	105.7	99.1	74.8	81.9	88	86	86.7	77.7	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g26166.t1	Montipora_capitata_KBHIv3___RNAseq.g26166.t1	0	20.335	0	7	5	5	5	5	1023	115.2	8.32	6.79	5	0	1758.1	30.8	27.7	40.9	22.1	53.7	32.8	27.9		12.45	8.6	1.19	1.51	32.9	81.7	17.78	1758.1		33.7	28.2	29.5	26.1	40.5	41.2	22.3	21.8	68.1	42.4	17	63.3	31.6	24.6	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g4766.t1	Montipora_capitata_KBHIv3___RNAseq.g4766.t1	0	19.13	0	14	7	8	7	7	556	61.9	4.84	10.55	7	0	747.2	418.9	160.9	280.5	438	444.2	709.5	470.8		15.79	21.26	10.35	7.54	49.73	4.07	54.5	747.2		374.5	468.6	138.3	187.2	301.9	260.7	462	415.3	307.7	641.3	730.3	689.4	313.6	706.8	1		5	5	5	5	5	5	5	5	5	5	5	5	5	5	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12782.t1	Montipora_capitata_KBHIv3___RNAseq.g12782.t1	0	14.778	0	24	4	4	2	4	266	30	6.32	7.64	4	0		94.4	113.8	93.7	110.1	95.1	113.5	86.1		5.72	5.73	9.83	9.46	11.18	5.94	2.12			90.7	98.3	109.3	118.5	100.5	87.4	102.9	117.7	103	87.9	118.4	108.9	87.4	84.8			3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g15044.t2	Montipora_capitata_KBHIv3___TS.g15044.t2	0	34.506	0	26	8	9	8	8	384	42.3	7.59	7.72	8	0	117.3	454	580.5	507.8	614.3	475.8	603.2	501.9		2.65	10.52	0.71	11.57	23.13	11.96	7.85		117.3	462.6	445.6	625.4	538.8	510.4	505.3	565.9	666.8	561.2	403.4	554.2	656.6	530.6	474.8		1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g731.t2	Montipora_capitata_KBHIv3___RNAseq.g731.t2	0	24.885	0	3	7	7	7	7	2475	288.1	5.58	11.45	7	0	223.7	412	371.2	452.4	309.7	364.5	233.8	416.6		5.32	10.71	3.68	1.73	12.08	1.65	12.4		223.7	396.8	427.8	344.1	400.4	440.8	464.4	313.5	305.9	334.5	397	231.1	236.6	454.8	381.5		1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Cladocopium_goreaui_v3___evm.model.scf7180000354335.3	Cladocopium_goreaui_v3___evm.model.scf7180000354335.3	0.002	3.297	12	1	2	2	2	2	1184	128.1	6.32	0	2	0		157.7	135.1	197.5	48.2	154	135.8	162.4		11.62	10.63	8.94	1.03	2.78	73.66	45.01			145.2	171.2	125.3	145.7	210.4	185.4	47.8	48.5	157.1	151	76.2	241.9	116.8	225.8			1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6737.t1	Montipora_capitata_KBHIv3___RNAseq.g6737.t1	0	24.621	0	21	8	9	8	8	389	41.8	5.52	10.03	8	0	97.7	382.9	434.7	418.1	434	432.9	402	401.4		4.43	3.52	6.43	3.06	3.84	10.14	6.27		97.7	395	371	424	445.7	399.5	437.5	424.7	443.5	444.8	421.3	374.1	432	384	419.6		2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g45913.t1	Montipora_capitata_KBHIv3___TS.g45913.t1	0	34.45	0	18	14	20	14	14	909	103.6	6.13	19.76	14	0	1384	830.1	974.1	987.9	1164.3	477.8	639.5	839		2.62	5.43	2.47	3.75	42.97	27.36	13.52		1384	814.9	845.6	1012.3	937.4	970.8	1005.3	1133.9	1195.7	349.1	653.9	777.9	525.7	923.4	762.3		4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g46533.t1b	Montipora_capitata_KBHIv3___RNAseq.g46533.t1b	0	20.423	0	14	6	6	0	1	528	61.1	5.31	7.13	6	0	698.5	43.7	40.5	51.8	34.9	40.6	30.4	51.6		45.86	14.52	6.64	7.13	17.31	11.35	1.11		698.5	61.2	31.2	36.5	44.9	54.2	49.4	36.7	33.2	35.9	45.9	28.1	33	52	51.2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12905.t1	Montipora_capitata_KBHIv3___RNAseq.g12905.t1	0	16.22	0	23	4	4	4	4	227	25.5	7.49	9.09	4	0																																																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g12380.t4	Montipora_capitata_KBHIv3___TS.g12380.t4	0	6.972	0	2	3	3	3	3	1625	178	5.33	2.24	3	0	165.2	105.3	83.7	83.4	98.2	125.3	110.7	85.8		2.66	11.87	6.9	1.61	4.14	15.01	28.68		165.2	107.3	103.3	76.9	91.1	87.6	79.4	97.1	99.4	121.7	129	123.2	99.5	69.8	105.3		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g8974.t1	Montipora_capitata_KBHIv3___RNAseq.g8974.t1	0.002	3.096	13	2	1	1	1	1	653	74.7	7.85	0	1	0																																																	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3110.t1	Montipora_capitata_KBHIv3___RNAseq.g3110.t1	0	4.059	1	8	2	2	2	2	234	25.6	8.03	0	2	0		48.6	43.5	43.5	29.9	40.8	41	47.2		30.97	14.97	12.67	13.59	48.32	21.34	19.39			60.7	38.9	39.1	48.4	47.6	39.8	32.9	27.2	28.6	58.2	47.7	35.2	41.1	54.1			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3126.t1	Montipora_capitata_KBHIv3___RNAseq.g3126.t1	0	18.858	0	11	6	6	3	3	585	64.5	7.8	4.27	6	2	1070.2	103.4	101.2	117.7	113.5	92.9	128.5	83.2		14.33	9.99	18.97	10.97	13.52	11.88	22.07	1070.2		114.5	93.4	94.3	108.7	134.7	102.9	122.6	105	102.3	84.4	139.8	118.1	97.4	71.1	1		2	2	2	2	2	2	2	2	2	2	2	2	2	2	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g45097.t1	Montipora_capitata_KBHIv3___RNAseq.g45097.t1	0	120.333	0	36	25	50	13	20	867	97.4	5.24	46	25	5	2377.4	3458.5	3301.7	3152.6	3703.6	3007	2890.1	3173.4	59.07	9.74	4.76	7.39	3.41	17.58	9.12	6.13	1523.7	3709.3	3228	3705.6	3414.7	3192.4	2992	3321.8	3615.3	3794.1	2653.9	3407.2	3082.9	2709.4	3314	3038.7	3	12	26	26	26	26	26	26	26	26	26	26	26	26	26	26	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g42682.t1	Montipora_capitata_KBHIv3___RNAseq.g42682.t1	0	9.008	0	15	3	3	1	1	216	24	7.2	1.6	3	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	Not Found	High	High	Not Found	High	High	1	
FALSE	High	Master Protein	Durusdinium_trenchii_CCMP2556_v1___s175_g11237	Durusdinium_trenchii_CCMP2556_v1___s175_g11237	0	7.46	0	4	4	4	1	2	792	86.9	7.12	3.7	4	0	225.7	158.7	131.9	315.5	123.7	145	292.2	166.7		27.16	3.99	7.25	8.06	23.97	75.51	10.23		225.7	192.8	130.7	128.3	135.7	332.1	299.7	116.8	130.9	172.1	122.2	161.1	530.1	155	179.2		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g23359.t1	Montipora_capitata_KBHIv3___RNAseq.g23359.t1	0	14.47	0	13	4	5	4	4	323	38.3	5.06	3.76	4	0	507.3	339.7	322.1	308.5	362.8	344.2	319.1	322.3		2.53	4.65	1.37	7.3	1.29	1.79	8.16		507.3	345.8	333.7	332.8	311.6	311.5	305.5	344.6	382	341	347.3	323.2	315.1	341.5	304.2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g19289.t1	Montipora_capitata_KBHIv3___RNAseq.g19289.t1	0	194.131	0	22	42	62	42	42	2564	272.4	5.9	76.74	42	0	2218.7	1778.5	2722.4	2177.1	2741	1758.3	2102.6	2079.9	33.7	5.9	0.51	0.36	0.15	8.91	3.22	15.04	2828.9	1740.2	1705.7	1854.3	2712.6	2732.2	2171.5	2182.7	2738	2744	1650.8	1872.7	2055.3	2151	2314.3	1869.3	2	8	25	25	25	25	25	25	25	25	25	25	25	25	25	25	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Cladocopium_goreaui_v3___evm.model.scf7180000353917.10	Cladocopium_goreaui_v3___evm.model.scf7180000353917.10	0	3.825	1	2	1	1	0	1	754	79.9	7.47	0	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50138.t1b	Montipora_capitata_KBHIv3___RNAseq.g50138.t1b	0	27.359	0	10	8	10	7	7	968	110.3	9.22	10.42	8	0	943.4	380.3	549.9	448.4	539.1	412.4	507	397.9	46.27	4.7	3.76	5.2	6.55	17.36	19.05	3.95	1325	671.7	393.2	367.9	564.8	535.5	432.2	465.2	514.7	564.7	466.5	364.5	442.8	580.7	409.2	386.9	1	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48423.t1	Montipora_capitata_KBHIv3___RNAseq.g48423.t1	0	3.91	1	4	1	1	1	1	337	37.2	5.41	2.22	1	0		37.9	43.7	43.7	36.3	35.3	45.4	36.3		0.81	3.79	12.2	3.26	0.88	6.06	13.68			38.2	37.7	44.9	42.5	47.7	40.1	35.5	37.2	35.5	35.1	47.4	43.5	32.9	39.9			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g30106.t1a	Montipora_capitata_KBHIv3___RNAseq.g30106.t1a	0	19.84	0	9	5	5	5	5	814	92.5	6.81	2.03	5	0	95.3	350	381.2	422	399.9	338	331.5	348	88.51	10.92	21.04	9.97	8.35	2.94	24.67	14.97	198.7	45.7	378.1	323.9	328.2	442.9	393.2	452.9	376.9	424.2	345.1	331	395.4	277.9	387	312.9	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6755.t1	Montipora_capitata_KBHIv3___RNAseq.g6755.t1	0	14.378	0	14	4	5	4	4	406	47.2	7.94	4.44	4	0		78.7	74.6	65.5	73.8	79.7	79.7	80.7		3.84	2.7	1.39	0.86	0.01	6.23	5.98			76.6	80.8	73.2	76	64.9	66.2	73.4	74.3	79.7	79.7	83.3	76.3	77.4	84.2			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44925.t1	Montipora_capitata_KBHIv3___RNAseq.g44925.t1	0	76.665	0	20	24	29	24	24	1380	155.4	7.21	37.26	24	0	2769.2	1134	1526.6	1274.2	1542.8	1252.2	800.9	1150.8	6.84	1.13	13.59	19.76	0.72	29.54	37.3	27.99	2906.6	2638.3	1125	1143.1	1681.1	1386.3	1107	1466.6	1550.7	1534.9	1547.9	1013	1049.3	611.3	1406.4	941.7	2	9	18	18	18	18	18	18	18	18	18	18	18	18	18	18	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35217.t1	Montipora_capitata_KBHIv3___RNAseq.g35217.t1	0	7.16	0	8	3	3	3	3	359	40.7	6.14	3.82	3	0		96.9	87.9	106.8	56.4	97.4	65	91.6		8.95	5.11	7.06	7.62	12.2	1.39	1.1			91	103.3	91.1	84.7	112.2	101.6	59.5	53.4	106.2	89.3	64.4	65.6	92.3	90.9			1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34981.t1	Montipora_capitata_KBHIv3___RNAseq.g34981.t1	0	9.597	0	4	3	4	3	3	857	95.2	7.74	5.72	3	0																																																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29852.t1	Montipora_capitata_KBHIv3___RNAseq.g29852.t1	0	32.798	0	14	8	14	8	8	665	75	6.49	16.83	8	0	458.1	768.1	604.9	588.7	554.4	608.6	563.4	525.2	37.27	14.31	12.06	1.4	1.03	41.7	12.99	3.52	349.7	600	850.1	693.9	555.3	658.9	582.9	594.6	550.4	558.4	449.1	824.7	513.8	617.8	512.3	538.4	2	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g49332.t2	Montipora_capitata_KBHIv3___RNAseq.g49332.t2	0	5.087	1	2	2	2	2	2	975	107.5	6.24	2.03	2	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g32942.t2	Montipora_capitata_KBHIv3___TS.g32942.t2	0	6.196	0	6	2	2	2	2	398	45	7.77	4.78	2	0	337.4	52.6	74.5	58	48.1	55.9	47	45.5		14	19.3	0.38	4.06	33.27	24.14	24.51	337.4		47.7	58.1	64.9	85.4	57.8	58.1	49.5	46.8	44	71.1	55.9	39.6	38.2	54.2	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41215.t2	Montipora_capitata_KBHIv3___RNAseq.g41215.t2	0.003	2.899	15	2	1	1	1	1	947	106.4	8.44	1.68	1	0																																																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g20958.t1	Montipora_capitata_KBHIv3___RNAseq.g20958.t1	0	5.451	1	7	1	1	1	1	204	22.9	7.36	2.04	1	0		44.4	39.2	33.7	29.6	35.3	53	20.2		1.21	24.04	39.35	21.99	15.99	3.13	51.08			44.8	44	33	46.5	25.3	44.9	34.7	25.3	31.5	39.6	54.1	51.8	13.9	29.5			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48483.t1	Montipora_capitata_KBHIv3___RNAseq.g48483.t1	0.005	2.167	32	1	1	1	1	1	1043	117.2	8.4	1.67	1	0																																																	Not Found	Not Found	High	High	Not Found	Not Found	High	High	High	Not Found	High	High	High	Not Found	High	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g21632.t1	Montipora_capitata_KBHIv3___RNAseq.g21632.t1	0	3.737	1	2	1	1	1	1	561	63.3	5.77	1.92	1	0	227.5	24.2	25.8	23.9	24.5	18	20.8	24.5		4.96	7.97	0.76	15	12	7.6	6.77		227.5	25.1	23.4	27.3	24.4	24.1	23.8	27.2	22	16.5	19.6	19.7	22	25.7	23.3		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g24095.t1	Montipora_capitata_KBHIv3___TS.g24095.t1	0.002	2.976	13	3	1	1	1	1	655	72.4	8.29	2.35	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	Not Found	High	High	Not Found	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g49322.t1	Montipora_capitata_KBHIv3___RNAseq.g49322.t1	0	8.664	0	14	2	2	2	2	190	22.4	10.92	2.75	2	0		99.2	122.1	118.9	98.9	94.1	95.6	85.4		10.31	2.63	11.14	14.62	0.39	4.55	9.83			106.8	92.3	124.4	119.8	128.7	109.9	109.8	89.2	94.3	93.8	98.7	92.5	79.6	91.5			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39013.t1	Montipora_capitata_KBHIv3___RNAseq.g39013.t1	0	21.135	0	28	9	10	8	9	346	37.8	7.71	11.43	9	0	9.6	430.9	331.2	391.1	483.9	385.9	417.1	439.1		14.61	2.23	0.43	15.79	18.81	19.57	3.25		9.6	388.5	478	336.5	326	392.3	389.9	432.6	541.3	337.6	441.1	479.4	362.9	449.3	429.1		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
