Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g49391.t1	Montipora_capitata_KBHIv3___RNAseq.g49391.t1	0	FALSE	23.072	17	6	6	6	391	43.5	7.5	5.76	6	0	214.7		256.5	209.1	181.3	196.9	277.8	306.1	155.7	187	302.7	221.2	157	135.8	291.3	258.4	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g46026.t1	Montipora_capitata_KBHIv3___RNAseq.g46026.t1	0	FALSE	47.036	22	7	22	7	454	51.2	6.92	15.41	7	0		965.6	265.7	400.8	360.2	243.1	298.1	293.3	378.7	325.1	470.1	313.4	302	233.3	308.3	463.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g36825.t1	Montipora_capitata_KBHIv3___TS.g36825.t1	0	FALSE	20.459	8	7	7	7	881	97.4	4.89	2.31	7	0			449	368.5	249.1	413.5	337.9	331.1	286.3	332.4	107.7	421.4	304	317.2	412	393.5	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35626.t1	Montipora_capitata_KBHIv3___RNAseq.g35626.t1	0.002	FALSE	2.377	1	1	1	1	1641	186.8	9.28	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g38472.t1	Montipora_capitata_KBHIv3___TS.g38472.t1	0	FALSE	19.343	14	5	5	5	429	48.3	7.46	2.31	5	0		225.9	28.7	28.8	39.4	52.6	34.7	44	40.2	48.6	34.6	31.6	36.8	36.2	30	31	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g32669.t1	Montipora_capitata_KBHIv3___RNAseq.g32669.t1	0	FALSE	8.477	8	1	1	1	262	29	5.87	2.81	1	0			17.1	22	23.6	19.1	31.1	18.7	20.9	25.3	2.8	14.9	21.7		109	53.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	Not Found	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3305.t1	Montipora_capitata_KBHIv3___RNAseq.g3305.t1	0	FALSE	14.444	33	5	7	5	223	24.8	4.88	0	5	0			420.1	466.5	432.1	383.9	360.3	394.6	399.7	350.8	415.1	475.4	331	347.3	402.7	399	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g36402.t1	Montipora_capitata_KBHIv3___RNAseq.g36402.t1	0.04	FALSE	1.05	1	1	1	1	855	94.8	7.44	0	1	0			69.4	63	69.4	47.6	57.4	54.9	58.8	45.8	48.6	47.3	46.5	90	53.9	82.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g16455.t1	Montipora_capitata_KBHIv3___RNAseq.g16455.t1	0.017	FALSE	1.449	3	1	1	1	284	32.5	6.01	1.78	1	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g30152.t1	Montipora_capitata_KBHIv3___RNAseq.g30152.t1	0.002	FALSE	2.851	2	1	1	1	1060	117.8	5.74	0	1	0																	Not Found	Not Found	Not Found	Not Found	High	High	Not Found	High	Not Found	Not Found	High	Not Found	Not Found	High	High	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g8700.t1	Montipora_capitata_KBHIv3___RNAseq.g8700.t1	0	FALSE	7.225	5	2	2	2	476	55.2	7.24	2.49	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3291.t1	Montipora_capitata_KBHIv3___RNAseq.g3291.t1	0.006	FALSE	1.961	6	1	1	1	300	32.7	9.03	0	1	0			25.1	21.4	33.6	35.1	23.7	21.3	23.9	25.2	19.3	25.4	29.1	25.4	23.3	26.9	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g42719.t1	Montipora_capitata_KBHIv3___RNAseq.g42719.t1	0.02	FALSE	1.339	0	1	1	1	3015	331.1	5.9	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g14874.t1	Montipora_capitata_KBHIv3___RNAseq.g14874.t1	0.001	FALSE	2.927	4	1	1	1	186	20.3	6.28	2.54	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	Not Found	High	High	Not Found	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g36951.t1	Montipora_capitata_KBHIv3___RNAseq.g36951.t1	0.005	FALSE	2.116	2	1	1	1	554	65.4	8.15	0	1	0			39.7	46.9	32	37.2	45.3	37.3	25	27.3	44	54.4	41.7	60.5	29.2	37.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6293.t1	Montipora_capitata_KBHIv3___RNAseq.g6293.t1	0	FALSE	26.68	16	7	8	7	448	50.2	5.05	3.11	7	0		130.1	471.9	570.5	514.6	465	481.2	500	558.1	538	420.7	455.8	490.6	560.7	529.7	550.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g13538.t1	Montipora_capitata_KBHIv3___RNAseq.g13538.t1	0	FALSE	25.172	13	6	7	6	493	53.8	7.68	3.88	6	0		1039.6	200.3	188.3	203.2	248.3	191.9	189.5	170.5	181.1	238.3	255	301.2	247.2	205.7	205	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g2813.t1	Montipora_capitata_KBHIv3___TS.g2813.t1	0.006	FALSE	1.998	3	1	1	1	770	86.7	6.98	2.12	1	0																	Not Found	Not Found	High	Not Found	High	High	High	High	High	High	Not Found	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g47275.t1	Montipora_capitata_KBHIv3___RNAseq.g47275.t1	0	FALSE	17.472	23	4	6	4	229	26.2	5.21	1.78	4	0	446	188.9	613.4	639.1	383.2	371.5	485.4	527.2	301	294.6	441.9	834.1	406.5	514.6	437.2	616.7	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37459.t1	Montipora_capitata_KBHIv3___RNAseq.g37459.t1	0.001	FALSE	4.787	7	2	2	2	315	33.7	6.3	1.81	2	0																	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g48274.t1	Montipora_capitata_KBHIv3___RNAseq.g48274.t1	0	FALSE	37.109	15	8	10	4	675	75.2	5.76	16.28	8	0	2035.2		32.2	32.8	41.3	32.1	28	50.6	77.2	75.1	496.1	27.9	168.1	18.4	19.5	17.4	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g16189.t1	Montipora_capitata_KBHIv3___RNAseq.g16189.t1	0	FALSE	27.99	6	7	8	7	1849	201.6	5.66	8.78	7	0	258.8	985	472.9	475.7	347.9	480.9	412.9	412.5	406.1	459.6	479.4	707.2	564.1	626.2	603.9	500.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35095.t1	Montipora_capitata_KBHIv3___RNAseq.g35095.t1	0	FALSE	11.859	8	2	3	2	300	33.9	8.27	1.94	2	0		162.5	63.7	86.7	74.4	55.3	75.7	74.6	69.6	105.9	52.5	74.9	70.3	49.4	72.2	56.9	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g27046.t1	Montipora_capitata_KBHIv3___RNAseq.g27046.t1	0	FALSE	23.514	17	6	7	6	390	40.8	6.93	0	6	0	2454.9		735.8	668.7	395.9	535.7	825.7	960.3	475.6	456	410.8	424.5	517.1	656.3	885.2	984.3	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37177.t1	Montipora_capitata_KBHIv3___RNAseq.g37177.t1	0.001	FALSE	4.001	3	2	2	2	655	74.8	6.14	2.18	2	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g46789.t1	Montipora_capitata_KBHIv3___RNAseq.g46789.t1	0	FALSE	24.165	21	8	11	2	501	56.5	6.58	5.66	8	3			210.6	182.2	151.7	165.3	156.1	148.8	136.3	139.5	176.8	214.7	163.6	189.7	177.4	180.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29210.t1	Montipora_capitata_KBHIv3___RNAseq.g29210.t1	0	FALSE	9.34	7	4	4	4	421	46.5	8.48	3.04	4	0	536.8	225.9	55.4	41.6	24.6	36.3	37.2	39.7	33.1	21.7	59	46.8	41	43.8	27.7	51.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g7350.t1	Montipora_capitata_KBHIv3___TS.g7350.t1	0	FALSE	6.28	5	2	3	2	465	52.8	7.31	0	2	0			75.4	74	107.7	96	79.6	92.3	112.3	91.9	86.5	67.9	77	81.9	81.7	80.8	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3312.t1	Montipora_capitata_KBHIv3___RNAseq.g3312.t1	0.001	FALSE	3.778	2	2	2	2	760	85.4	8.65	0	2	0			148.9	153.9	128.4	126.9	203.2	174.1	123.1	122.6	181.8	114.1	101.5	106.3	201	148.6	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g771.t2	Montipora_capitata_KBHIv3___RNAseq.g771.t2	0.002	FALSE	2.444	1	1	1	1	831	91.9	6.83	0	1	0			14.9	13.7	23.2	19.8	21.8	18.9	15.2	20.1	18.1	18.1	12.1	15.9	15.2	21.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g27001.t1	Montipora_capitata_KBHIv3___RNAseq.g27001.t1	0	FALSE	60.951	34	14	20	12	475	52.7	7.55	25.95	14	2	368.1	2164.3	852.3	1064.7	1287	997.3	743.5	793.3	1306.9	1166.1	987.8	884.8	1017.6	812.6	909.7	994.3	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g28056.t1	Montipora_capitata_KBHIv3___RNAseq.g28056.t1	0.002	FALSE	2.772	8	1	1	1	146	16.7	6.33	0	1	0																	Not Found	Not Found	High	Not Found	High	Not Found	High	High	High	Not Found	High	Not Found	High	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g2915.t1a	Montipora_capitata_KBHIv3___RNAseq.g2915.t1a	0	FALSE	5.039	2	1	1	1	891	98.7	7.36	2.51	1	0			14.3	15.2	18.9	16.3	13.4	18.9	16.9	18.9	16.9	17	16.8	14.2	15.1	14.1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g22719.t1	Montipora_capitata_KBHIv3___RNAseq.g22719.t1	0	FALSE	24.298	23	6	7	6	235	26.8	5.49	5.07	6	0	751.5	653	282.4	440.4	174.5	180.9	301.5	316.5	87.9	68.5	88.1	178.7	105.3	151.6	94.9	202.5	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50242.t1	Montipora_capitata_KBHIv3___RNAseq.g50242.t1	0	FALSE	24.531	4	7	7	6	2417	265.4	4.81	3.48	7	0			118	113.3	87.2	140.3	98.1	97.5	90.8	111.8	87.5	93.9	103.1	118.7	148.2	113.1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29512.t1	Montipora_capitata_KBHIv3___RNAseq.g29512.t1	0.016	FALSE	1.497	2	1	1	1	377	43.2	9.26	0	1	0			22.1	10.2	6.7	15	19.7	18.8	10.4	8.4	3.3	7.5	16.3	24.7	26.1	32.1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12047.t1	Montipora_capitata_KBHIv3___RNAseq.g12047.t1	0	FALSE	10.33	27	3	8	3	154	17.7	8.56	6.95	3	0		693.8	424.3	380.5	355.4	346.2	314.7	373.7	425.1	359.3	310.6	365.4	345.6	286.9	360.8	348.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g22864.t1	Montipora_capitata_KBHIv3___RNAseq.g22864.t1	0	FALSE	42.536	28	7	12	7	296	32.5	7.9	13.97	7	0	16.6	1105.7	763.2	833.4	924.9	983	748.3	943.2	677	727.3	821.9	1078.3	858	693.2	564.9	811.2	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g38257.t1	Montipora_capitata_KBHIv3___TS.g38257.t1	0	FALSE	56.766	29	7	14	2	394	40.7	8.81	61.48	7	4		836.8	209.7	177.9	174.2	194.5	186.6	145.8	187.1	189	103	164.6	198.9	131.6	333	141.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g18396.t1	Montipora_capitata_KBHIv3___RNAseq.g18396.t1	0	FALSE	12.311	14	4	4	4	345	39	7.31	4.35	4	0			171	161.9	196.4	163.1	167.4	173.2	196.9	167.5	342.8	158.3	159.9	241.6	153.2	156.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g49363.t1	Montipora_capitata_KBHIv3___RNAseq.g49363.t1	0	FALSE	4.902	2	1	1	1	714	78.6	5.68	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g40016.t1	Montipora_capitata_KBHIv3___RNAseq.g40016.t1	0.002	FALSE	2.3	1	1	2	1	974	108.2	8.18	0	1	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29442.t1	Montipora_capitata_KBHIv3___RNAseq.g29442.t1	0	FALSE	8.25	3	2	2	2	701	79.5	8.18	0	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g22996.t1	Montipora_capitata_KBHIv3___RNAseq.g22996.t1	0	FALSE	10.476	2	2	2	2	1859	211.4	5.58	2.92	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g23083.t1a	Montipora_capitata_KBHIv3___RNAseq.g23083.t1a	0.004	FALSE	2.207	12	1	1	1	76	8.9	10.35	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g19481.t1	Montipora_capitata_KBHIv3___RNAseq.g19481.t1	0.009	FALSE	1.75	3	1	1	1	226	25.3	8.31	0	1	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g5151.t1	Montipora_capitata_KBHIv3___RNAseq.g5151.t1	0.012	FALSE	1.631	2	1	1	1	462	52.3	9.55	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g47338.t2	Montipora_capitata_KBHIv3___TS.g47338.t2	0.002	FALSE	3.165	6	2	2	2	352	39.9	8.51	0	2	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41144.t1	Montipora_capitata_KBHIv3___RNAseq.g41144.t1	0	FALSE	34.611	21	7	9	7	472	53.6	7.72	12.67	7	0			310.3	405.4	333.5	285.9	355.1	354.3	328	325.3	314.7	271.8	280.8	315.1	331.6	320.2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g2466.t1	Montipora_capitata_KBHIv3___RNAseq.g2466.t1	0.016	FALSE	1.488	2	1	1	1	431	47.6	6.79	1.95	1	0																	Not Found	Not Found	High	Not Found	High	High	High	High	High	High	High	Not Found	Not Found	High	Not Found	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41562.t1	Montipora_capitata_KBHIv3___RNAseq.g41562.t1	0.001	FALSE	3.933	1	1	1	1	2642	293.8	5.02	2.84	1	0			17	23	18.5	16.8	19.6	14.5	21.5	23.9	20.5	24.9	15.1	19.1	19.3	21	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.47221_tc	Montipora_capitata_KBHIv3___RNAseq.47221_tc	0	FALSE	28.888	21	6	12	4	360	39.7	4.7	14.07	6	2		1661.2	872.4	956.5	716.8	398.5	1194.8	1035	552.3	681.5	625.9	632.1	518.6	2014.7	693.2	920	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g14107.t1	Montipora_capitata_KBHIv3___RNAseq.g14107.t1	0.009	FALSE	1.721	10	1	1	1	101	11.3	9.07	0	1	0			27.8	34	24.5	27.3	27.8	25.4	25.4	23.1	21.8	30.8	23.7	27.6	32.1	24.9	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g36184.t1	Montipora_capitata_KBHIv3___TS.g36184.t1	0	FALSE	9.188	8	3	6	3	354	38.6	5.49	3.77	3	0			16.6	29.3	16.9	13	21.6	19.3	19.5	14.8	14.6	21.8	16	18.6	17.2	22.7	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g49963.t1	Montipora_capitata_KBHIv3___RNAseq.g49963.t1	0.001	FALSE	3.027	1	1	1	1	1386	153.1	5.15	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44639.t1	Montipora_capitata_KBHIv3___RNAseq.g44639.t1	0	FALSE	11.339	5	4	5	4	660	73.8	5.01	1.72	4	0			15.3	16.4	19.1	21.2	22.1	18.8	13.7	18.2	20	17.3	11.7	16.9	11.4	18.4	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g44450.t1a	Montipora_capitata_KBHIv3___TS.g44450.t1a	0	FALSE	32.13	30	5	8	5	210	24	5.27	10.56	5	0		290.9	161.7	169.3	158	132.3	184.9	167.7	123.3	121.2	144.3	183	116.5	153.4	161.1	175.7	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g17812.t1	Montipora_capitata_KBHIv3___RNAseq.g17812.t1	0	FALSE	21.663	10	4	13	4	582	64.7	8.02	25.1	4	0	3322.8		168.5	172.4	169.3	262.8	409.6	255.6	372.9	441.9	55.5	213.3	352.1	19.5	343	206.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g20456.t1	Montipora_capitata_KBHIv3___RNAseq.g20456.t1	0	FALSE	11.495	9	4	4	4	467	52.7	5.01	7.33	4	0			16.4	21.8	19.3	17.3	18	26.2	25.9	21.8	24	26.4	19.2	32.7	23	19.6	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37473.t1	Montipora_capitata_KBHIv3___RNAseq.g37473.t1	0	FALSE	22.161	16	7	7	7	497	55.8	4.82	4.13	7	0		130	180.6	179.2	181.7	193.1	169.2	176.9	164.3	184.2	175.8	198.1	188	148.5	165.2	151.8	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g44590.t1	Montipora_capitata_KBHIv3___TS.g44590.t1	0	FALSE	6.059	7	2	2	2	315	35.6	7.46	0	2	0			16	21	21.1	10.2	21.4	16.1	18.8	14.8	27.2	34.7	14.9	15.6	26.3	23.6	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3280.t1	Montipora_capitata_KBHIv3___RNAseq.g3280.t1	0	FALSE	16.221	13	6	6	6	420	46	8.37	13.37	6	0			132.9	151.1	122.5	201.4	171.7	138.7	93.2	204.9	189.8	179.6	175.3	205.9	141.4	152.5	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g16462.t1	Montipora_capitata_KBHIv3___RNAseq.g16462.t1	0	FALSE	11.438	20	2	2	2	144	15.4	8.19	6.02	2	0			67.4	78.9	70.3	84.2	29	40.8	137.9	116.1	8.6	106.3	128.5	10.5	47.7	54.4	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g16040.t1	Montipora_capitata_KBHIv3___RNAseq.g16040.t1	0	FALSE	189.875	57	20	342	4	376	41.7	5.48	402.02	20	18	44123.5	30305.2	16614.7	14484.2	15664.3	15421.7	14152.3	14355.5	19468.3	20839.9	19179.1	15801.2	20444.3	15731.7	13807.3	13961.1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g26407.t1b	Montipora_capitata_KBHIv3___RNAseq.g26407.t1b	0	FALSE	7.542	7	2	2	2	316	36.2	9.92	4.16	2	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g40498.t2	Montipora_capitata_KBHIv3___TS.g40498.t2	0	FALSE	13.847	6	3	4	3	536	60.1	8.81	0	3	0		1050.9	399.3	355.2	274.1	313.6	328.6	337.8	252.7	243.1	276.3	425.3	292.3	361.2	289.4	370.7	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g45327.t1	Montipora_capitata_KBHIv3___RNAseq.g45327.t1	0	FALSE	6.74	13	2	2	2	174	19.8	9.99	0	2	0			24.1	27.2	19.3	25	25.6	26.3	31.3	20.9	16.6	30.4	27.2	17.8	28.1	23.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12085.t1	Montipora_capitata_KBHIv3___RNAseq.g12085.t1	0	FALSE	21.427	12	5	6	5	446	49.8	7.2	8.68	5	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6487.t1	Montipora_capitata_KBHIv3___RNAseq.g6487.t1	0	FALSE	25.105	22	5	6	5	318	35.4	6.52	15.22	5	0	30.7		279.2	356.3	280.8	268.5	295.4	299.9	275.2	243.1	285.7	320.4	259	251.6	295.9	315.8	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
